id,utmlong,utmlat,ESTtime
1,567111.9228,2948613.66,2016/07/02 12:00:00
1,567110.0573,2948665.376,2016/07/02 14:00:00
1,567107.0439,2948595.248,2016/07/02 16:00:00
1,567095.3342,2948626.531,2016/07/02 18:00:00
1,567095.3734,2948619.111,2016/07/02 20:00:00
1,567098.7546,2948600.742,2016/07/02 22:00:00
1,567106.9761,2948608.096,2016/07/03 00:00:00
1,567075.9759,2948523.089,2016/07/03 02:00:00
1,567237.8078,2948653.092,2016/07/03 04:00:00
1,567138.455,2948621.221,2016/07/03 06:00:00
1,567127.2109,2948545.512,2016/07/03 08:00:00
1,567061.9589,2948652.163,2016/07/03 10:00:00
1,566949.0217,2947420.233,2016/07/03 12:00:00
1,567215.0233,2949197.586,2016/07/03 14:00:00
1,567091.9407,2948628.396,2016/07/03 16:00:00
1,567083.3789,2948685.504,2016/07/03 18:00:00
1,566982.5485,2948612.977,2016/07/03 20:00:00
1,567095.3442,2948624.649,2016/07/03 22:00:00
1,567095.3342,2948626.531,2016/07/04 00:00:00
1,567145.035,2948637.87,2016/07/04 02:00:00
1,567093.6524,2948624.64,2016/07/04 04:00:00
1,567091.9699,2948622.859,2016/07/04 06:00:00
1,567093.6424,2948626.522,2016/07/04 08:00:00
1,567090.2998,2948637.581,2016/07/04 10:00:00
1,567095.2951,2948633.952,2016/07/04 12:00:00
1,567095.3442,2948624.649,2016/07/04 14:00:00
1,567083.6514,2948633.891,2016/07/04 16:00:00
1,567093.6717,2948620.985,2016/07/04 18:00:00
1,567111.8444,2948628.502,2016/07/04 20:00:00
1,567131.7972,2948619.303,2016/07/04 22:00:00
1,567113.5654,2948622.973,2016/07/05 00:00:00
1,567121.8255,2948623.016,2016/07/05 02:00:00
1,567113.5654,2948622.973,2016/07/05 04:00:00
1,567118.532,2948624.771,2016/07/05 06:00:00
1,567098.6184,2948626.549,2016/07/05 08:00:00
1,567096.985,2948615.464,2016/07/05 10:00:00
1,567078.6854,2948631.982,2016/07/05 12:00:00
1,567093.5354,2948646.791,2016/07/05 14:00:00
1,567115.0818,2948656.209,2016/07/05 16:00:00
1,567118.2588,2948676.495,2016/07/05 18:00:00
1,567098.5207,2948645.045,2016/07/05 20:00:00
1,567095.3342,2948626.531,2016/07/05 22:00:00
1,567095.3342,2948626.531,2016/07/06 00:00:00
1,567085.3631,2948630.134,2016/07/06 02:00:00
1,567091.9699,2948622.859,2016/07/06 04:00:00
1,567091.9699,2948622.859,2016/07/06 06:00:00
1,567113.5947,2948617.435,2016/07/06 08:00:00
1,567093.7301,2948609.909,2016/07/06 10:00:00
1,567103.682,2948609.961,2016/07/06 12:00:00
1,567095.2366,2948645.028,2016/07/06 14:00:00
1,567091.9506,2948626.514,2016/07/06 16:00:00
1,567090.456,2948608.008,2016/07/06 18:00:00
1,567080.4164,2948624.57,2016/07/06 20:00:00
