id,utmlong,utmlat,ESTtime
SNIK 06,465622.8811,3117677.32,4/24/18 11:00
SNIK 06,465614.7553,3117684.655,4/24/18 12:00
SNIK 06,465621.2764,3117699.481,4/24/18 13:00
SNIK 06,465626.1682,3117693.928,4/24/18 14:00
SNIK 06,465613.0866,3117684.66,4/24/18 15:00
SNIK 06,465619.6365,3117675.446,4/24/18 16:00
SNIK 06,465601.6024,3117684.693,4/24/18 17:00
SNIK 06,465608.2269,3117701.291,4/24/18 18:00
SNIK 06,465606.5051,3117682.906,4/24/18 19:00
SNIK 06,465639.2891,3117682.812,4/25/18 8:00
SNIK 06,465654.0444,3117693.847,4/25/18 9:00
SNIK 06,465636.0103,3117703.094,4/25/18 10:00
SNIK 06,465629.516,3117697.574,4/25/18 11:00
SNIK 06,465627.7515,3117664.345,4/25/18 12:00
SNIK 06,465639.3741,3117712.279,4/25/18 13:00
SNIK 06,465647.5264,3117714.139,4/25/18 14:00
SNIK 06,465611.3914,3117675.47,4/25/18 15:00
SNIK 06,465608.1417,3117671.824,4/25/18 16:00
SNIK 06,465604.9026,3117671.833,4/25/18 17:00
SNIK 06,465606.4837,3117675.484,4/25/18 18:00
SNIK 06,465603.2551,3117679.149,4/25/18 19:00
SNIK 06,465624.3949,3117623.698,4/26/18 7:00
SNIK 06,465655.5533,3117638.453,4/26/18 8:00
SNIK 06,465686.7302,3117693.753,4/26/18 9:00
SNIK 06,465655.7555,3117708.576,4/26/18 10:00
SNIK 06,465606.5691,3117705.062,4/26/18 11:00
SNIK 06,465616.2778,3117668.034,4/26/18 12:00
SNIK 06,465608.1629,3117679.135,4/26/18 13:00
SNIK 06,465614.7767,3117692.077,4/26/18 14:00
SNIK 06,465609.8155,3117673.591,4/26/18 15:00
SNIK 06,465606.4731,3117671.828,4/26/18 16:00
SNIK 06,465604.9132,3117675.489,4/26/18 17:00
SNIK 06,465606.5051,3117682.906,4/26/18 18:00
SNIK 06,465598.4113,3117701.319,4/26/18 19:00
SNIK 06,465606.4837,3117675.484,4/27/18 7:00
SNIK 06,465575.493,3117684.768,4/27/18 8:00
SNIK 06,465606.4782,3117673.601,4/27/18 9:00
SNIK 06,465603.282,3117688.455,4/27/18 10:00
SNIK 06,465614.8461,3117716.116,4/27/18 11:00
SNIK 06,465634.2854,3117649.592,4/27/18 12:00
SNIK 06,465644.138,3117662.414,4/27/18 13:00
SNIK 06,465639.3316,3117697.545,4/27/18 14:00
SNIK 06,465637.6575,3117695.667,4/27/18 15:00
SNIK 06,465617.9624,3117673.568,4/27/18 16:00
SNIK 06,465611.482,3117706.821,4/27/18 17:00
SNIK 06,465629.516,3117697.574,4/27/18 18:00
SNIK 06,465654.1402,3117727.081,4/27/18 19:00
SNIK 06,465601.5759,3117675.498,4/28/18 8:00
SNIK 06,465611.3649,3117666.275,4/28/18 9:00
SNIK 06,465591.7549,3117673.643,4/28/18 10:00
SNIK 06,465601.5119,3117653.343,4/28/18 11:00
SNIK 06,465599.9519,3117657.003,4/28/18 12:00
SNIK 06,465595.1242,3117684.712,4/28/18 13:00
SNIK 06,465626.0723,3117660.694,4/28/18 14:00
SNIK 06,465611.386,3117673.587,4/28/18 15:00
SNIK 06,465609.8315,3117679.13,4/28/18 16:00
SNIK 06,465609.8104,3117671.819,4/28/18 17:00
SNIK 06,465572.1612,3117686.661,4/28/18 18:00
SNIK 06,465609.8155,3117673.591,4/28/18 19:00
SNIK 06,465609.9384,3117716.131,4/29/18 7:00
SNIK 06,465616.3952,3117708.69,4/29/18 9:00
SNIK 06,465598.3473,3117679.163,4/29/18 10:00
SNIK 06,465611.3809,3117671.814,4/29/18 11:00
SNIK 06,465624.6028,3117695.705,4/29/18 12:00
SNIK 06,465681.8329,3117697.423,4/29/18 13:00
SNIK 06,465604.8492,3117653.333,4/29/18 14:00
SNIK 06,465608.1363,3117669.94,4/29/18 15:00
SNIK 06,464837.2536,3118115.313,4/29/18 16:00
SNIK 06,465612.9747,3117645.887,4/29/18 17:00
SNIK 06,465606.4731,3117671.828,4/29/18 18:00
